trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,center_tall_barrier,rgbd,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.253894570765418,0.5023747757766457,-0.30199038268900386,0.7599999352712878,0.493902280176309,0.003098577615974659,3.674203751958424e-05,0.32608695652173914,1.0,True,SUCCESS,10,0.0011334257537716395,0.0011337167506596099,3.4106240589048685e-07,-0.0009897117419053192,-5.575709281499357e-05,0.0005495592551650344,4.664767019000465,1.2044747390000339,1.0,0.030091767,7.768738130685501,164.50313392800035,,physical lift and upright placement verified
2,2,positive_y_barrier,rgbd,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8790410328649776,0.49764958303770485,-0.30045965178539796,0.7599999105613838,0.11904874227586848,0.002394940431088755,4.704285043347782e-05,0.3617021276595745,1.0,True,SUCCESS,10,0.003262500158324561,0.003262601249339819,1.1847434497585023e-07,-0.0007486366512539089,0.003127528511676733,0.0005495592551472709,4.706378608000705,1.2088252829998964,1.0,0.052947187,3.473013135745888,124.48326619399995,,physical lift and upright placement verified
3,3,negative_y_barrier,rgbd,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,0.886687572486859,0.5062463962967132,-0.2980210847556163,0.7599999555030045,0.12669528189774992,0.006552371497559227,7.999089083038908e-05,0.3617021276595745,1.0,True,SUCCESS,10,0.0030814746011335894,0.0030814924729513603,2.7532518649465514e-08,-0.0007385432533288938,-0.002940668480063177,0.000550007679681909,4.803515423000135,1.163510698999744,1.0,0.050030581000000005,3.55544932425572,120.5966254949999,,physical lift and upright placement verified
