trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
11,11,random_011,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.544466,0.023777,0.7599922905891091,0.8859826305830647,0.45245339232706516,-0.08311263043691176,0.7599996585917912,0.1259903399939556,0.003963281754285358,0.0001203851116495482,,,,SUCCESS,10,0.0010260853803534414,0.0010261390535785172,8.268916101082557e-08,-0.0008399123998725777,0.00021187237564142258,0.0005500076797529633,4.869351687999824,1.1577728170000228,1.0,0.014756677,3.4218744274747155,112.6577584659999,,physical lift and upright placement verified
12,12,random_012,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.50722,-0.041342,0.7599922905891091,0.8878254285625917,0.450041396670257,-0.081167137397847,0.7599999588880606,0.1278331379734826,0.0011678713077439796,5.519895882316329e-05,,,,SUCCESS,10,0.001068465806920419,0.0010687744975204205,3.618042979551681e-07,0.0005617881465411756,0.000723876729774732,0.0005495592549694131,4.762982295000256,1.1992255669997576,1.0,0.006704661,6.463229406877748,132.30082995999965,,physical lift and upright placement verified
13,13,random_013,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.556577,-0.019609,0.7599922905891091,0.8875452205185339,0.44972194709185237,-0.07974876595001446,0.7599999847760783,0.1275529299294248,0.00037474253539366,1.2342862421580037e-05,,,,SUCCESS,10,0.0017060036010935653,0.0017060358859127655,4.973698312960163e-08,-0.0016147744571975986,1.9434520590905918e-05,0.0005500672844333768,4.872222686999521,1.1584273739999844,1.0,0.005254468,5.897814537726514,108.23325871299949,,physical lift and upright placement verified
14,14,random_014,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.48742,-0.048394,0.7599922905891091,0.8876285247038836,0.4473429628752326,-0.07876017222691034,0.7599999316421457,0.12763623411477454,0.002932067392470615,0.00013954433358025328,,,,SUCCESS,10,0.001962681311289893,0.0019627093738400843,4.3232152054447194e-08,0.001548871974811905,0.0010726320414660637,0.0005500672840776614,4.849691997999798,1.1472468030005984,1.0,0.014939658,3.182404336156514,117.24565866299963,,physical lift and upright placement verified
15,15,random_015,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.5478,0.012447,0.7599922905891091,0.8873141507522372,0.4517812577210529,-0.08176574084003925,0.7599999715041004,0.12732186016312808,0.0025081307349906963,0.00011025917278942597,,,,SUCCESS,10,0.0011490774593442853,0.0011491253872800567,7.383741788688017e-08,-0.0010087458587173526,-1.7387751825912942e-05,0.0005500076797886014,4.830679553999289,1.1512880509999377,1.0,0.015361004,2.779360415724964,107.52340937600002,,physical lift and upright placement verified
16,16,random_016,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.54457,0.027568,0.7599922905891091,0.8873967563034763,0.45150305034514143,-0.0814638915801623,0.7599999554308694,0.12740446571436714,0.0020981274747941875,0.00010222847630396106,,,,SUCCESS,10,0.0011083949866162728,0.0011084446738029439,7.654786826542638e-08,-0.0009119951846415786,-0.0003070761531173104,0.0005500076797529633,4.858659587000147,1.1482744879995153,1.0,0.005075121,2.718721089996266,109.10802170999978,,physical lift and upright placement verified
17,17,random_017,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.522898,0.056774,0.7599922905891091,0.8863629726760706,0.4553107729659757,-0.08330183884733196,0.7599999349672965,0.12637068208696145,0.006253514953537577,9.342484200142891e-05,,,,SUCCESS,10,0.0012043267451831493,0.0012043724742757244,7.044971816138807e-08,8.484674762421207e-05,-0.0010680334601821453,0.0005500076796462708,4.818011702999684,1.1443093859998044,1.0,0.005360505,4.655416095132576,159.09984792399973,,physical lift and upright placement verified
18,18,random_018,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.510283,0.006245,0.7599922905891091,0.8875977306220227,0.4493124773970082,-0.07890267272667477,0.7599999406404252,0.12760544003291363,0.0012949187147970314,9.453398818708381e-05,,,,SUCCESS,10,0.0008525934061946287,0.0008529802256756288,4.53401841409818e-07,0.0006489823436555131,-6.154086808154383e-05,0.0005494996504135111,4.679503203999957,1.2073588479997852,1.0,0.016080995,3.364246361128531,113.74773686299977,,physical lift and upright placement verified
19,19,random_019,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.546352,0.014222,0.7599922905891091,0.8874031345918011,0.45163508288390675,-0.08190357342254313,0.7599999446821928,0.12741084400269198,0.002509399891471544,0.0001025488421043485,,,,SUCCESS,10,0.0010736553353408492,0.0010737066303312468,7.902500162354554e-08,-0.0009215220241932665,-3.20073842332326e-05,0.0005500076797886014,4.793849392000084,1.143743462999737,1.0,0.015497218,2.979385048114704,107.62562438400073,,physical lift and upright placement verified
20,20,random_020,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.548937,0.009282,0.7599922905891091,0.8879158570531619,0.45109714127369605,-0.08127034369185059,0.7599999577185947,0.12792356646405278,0.001678538671481728,5.826966043336328e-05,,,,SUCCESS,10,0.001436189872445943,0.001436189872445943,0.0,-0.0013264302310085352,-2.4564206644569e-05,0.0005501097997080776,4.967374187000132,1.1751804679997804,1.0,0.015647328,8.301946841520689,133.3300686520006,,physical lift and upright placement verified
