trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
11,11,random_011,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.544466,0.023777,0.7599922905891091,0.8876174945159585,0.45086461376914355,-0.08129355764323065,0.7599999305871911,0.1276252039268494,0.0015559075650472209,0.00012260795986068193,,,,SUCCESS,10,0.0010261401145439236,0.0010261401145439236,0.0,-0.0008399123998725777,0.00021187237564142258,0.0005501097996369123,5.034487704999947,1.1486569819999204,1.0,0.014593141,3.3871806351488134,104.88736129199992,,physical lift and upright placement verified
12,12,random_012,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.50722,-0.041342,0.7599922905891091,0.8879923175684707,0.4489267411499007,-0.07977214448093821,0.7599999326905039,0.12800002697936164,0.0010971794299083162,9.512586428604446e-05,,,,SUCCESS,10,0.0010687270353537499,0.0010687785724855202,7.939806942897532e-08,0.0005617881465411756,0.000723876729774732,0.0005500672841488267,4.903722173000006,1.1219490440000754,1.0,0.014889091,3.1386722061145553,103.8049832480001,,physical lift and upright placement verified
13,13,random_013,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.556577,-0.019609,0.7599922905891091,0.887788398372925,0.4511134425491623,-0.08125741950809008,0.7599999617436732,0.1277961077838159,0.0016795410477490765,4.5023913312293726e-05,,,,SUCCESS,10,0.0017060036010935653,0.0017060358859127655,4.973698312960163e-08,-0.0016147744571975986,1.9434520590905918e-05,0.0005500672844333768,4.98054976100002,1.1146962610000628,1.0,0.015124981,7.336860025792495,124.96135942900014,,physical lift and upright placement verified
14,14,random_014,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.48742,-0.048394,0.7599922905891091,0.8874315752194059,0.44979521351629353,-0.08124204226943366,0.7599998604651838,0.12743928463029675,0.0012588115515988606,9.662741424971183e-05,,,,SUCCESS,10,0.001962709928591808,0.001962709928591808,0.0,0.001548871974811905,0.0010726320414660637,0.0005501694039616103,5.285721185000057,1.1018850479999855,1.0,0.015704952,6.921576877220235,126.59481984700005,,physical lift and upright placement verified
15,15,random_015,rgbd,fallback_chain,,,,,,,FAILED,FAILED,0.5478,0.012447,0.7599922905891091,0.7599994211828185,0.5478,0.012447,0.7599994211828185,,,,,,,SUCCESS,10,0.0011491263346946419,0.0011491263346946419,0.0,-0.0010087458587173526,-1.7387751825912942e-05,0.0005501097996725504,5.260868483999957,1.098721587,1.0,0.0,0.25105823490569956,86.47463868499995,cartesian_motion,"pick pipeline failed: cartesian_approach: execution_status=6, moveit_error_code=-4, execution_start_check: max_delta=0.0000 rad at panda_joint1, trajectory_start=-1.2164, current=-1.2164, tolerance=0.0500"
16,16,random_016,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.54457,0.027568,0.7599922905891091,0.8875875117099239,0.4512822128593357,-0.08114353183155747,0.7599999774472956,0.12759522112081478,0.0017180613687931905,1.571963993965638e-05,,,,SUCCESS,10,0.0011081431406503612,0.0011084407450881809,3.4880817864810776e-07,-0.0009119951846415786,-0.0003070761531173104,0.0005494996505735497,4.816371192999895,1.166916694000065,1.0,0.0053495209999999994,3.0102249881284706,104.55196498200007,,physical lift and upright placement verified
17,17,random_017,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.522898,0.056774,0.7599922905891091,0.8874075741112646,0.45224056858088907,-0.080992995031354,0.7599999634371625,0.12741528352215548,0.0024507522721192725,0.0001073991594160462,,,,SUCCESS,10,0.0012040949716298087,0.0012043688584825493,3.2100536958663106e-07,8.484674762421207e-05,-0.0010680334601821453,0.0005494996504668573,4.851135961999944,1.1702651210000568,1.0,0.015481476,2.8948555573370873,121.1650877290001,,physical lift and upright placement verified
18,18,random_018,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.510283,0.006245,0.7599922905891091,0.8879923804971969,0.44968972693757375,-0.0795866136305157,0.7599999384262284,0.12800008990808776,0.0005168729704038636,9.688356097109422e-05,,,,SUCCESS,10,0.0008529866073399504,0.0008529866073399504,0.0,0.0006489823436555131,-6.154086808154383e-05,0.0005501097994768736,5.221586921000153,1.0941249109998807,1.0,0.014804276,2.7744307447391696,102.76267257299992,,physical lift and upright placement verified
19,19,random_019,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.546352,0.014222,0.7599922905891091,0.886226804839101,0.45375742359607163,-0.08363683795233366,0.7599999267644161,0.12623451424999188,0.005229227703706707,4.4812951303591474e-05,,,,SUCCESS,10,0.0010736553353408492,0.0010737066303312468,7.902500162354554e-08,-0.0009215220241932665,-3.20073842332326e-05,0.0005500076797886014,5.131061792999844,1.1191362849999678,1.0,0.004798572,3.186009755611665,112.08806836500025,,physical lift and upright placement verified
20,20,random_020,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.548937,0.009282,0.7599922905891091,0.887940701029227,0.4512435650506469,-0.08138574781146177,0.7599998309440247,0.12794841044011784,0.00186192133580916,5.326343376763769e-05,,,,SUCCESS,10,0.001436150767211632,0.0014361891143993162,5.907678884567137e-08,-0.0013264302310085352,-2.4564206644569e-05,0.0005500076798241286,4.908359029000167,1.1197413019999658,1.0,0.015282762,5.6871650022107545,105.47495899099977,,physical lift and upright placement verified
