trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,baseline_001,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8873124697854132,0.4547127649728452,-0.08449614770390736,0.7599999431579614,0.12732017919630412,0.006513485846139437,0.00010599179456161326,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.5081369800000175,1.131485409999982,1.0,0.0050161469999999994,3.3469260319476444,100.86668501100007,,physical lift and upright placement verified
2,2,baseline_002,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8875212835819009,0.4489383032844502,-0.07914116618613098,0.7599998548467645,0.12752899299279175,0.0013655751377069914,9.764423722147483e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.0201651019999645,1.1236427039999626,1.0,0.014976242,2.7997056332480517,99.81841217199997,,physical lift and upright placement verified
3,3,baseline_003,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8873368598819237,0.4500782543594922,-0.08049343547247992,0.7599999795454974,0.12734456929281457,0.0004996021524167023,1.3845881787227385e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,4.8065706840000075,1.1282390579999628,1.0,0.004935101999999999,7.132547520426714,119.49108781000007,,physical lift and upright placement verified
