trial,scenario_index,scenario_name,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
18,18,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,FAILED,FAILED,0.54,0.1,0.7599922905891091,0.760025215171254,0.5459715899466232,0.10192612030108662,0.7599999518730614,,,,0.35555555555555557,1.0,True,0.0,1.5650416794705733,57.65353853100078,physical_grasp,pick pipeline failed: physical_grasp_check failed after retries: object_lift_delta=0.0000m
19,19,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.3766366744774257,0.4999977645732039,-0.3000360728028277,0.7599999792643183,0.6166443838883165,3.6142006955546654e-05,2.2214527458981644e-05,0.3111111111111111,1.0,True,0.030400828,8.820877739296193,77.08623441999953,,physical lift and upright placement verified
20,20,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.903946156727924,0.49900643151755153,-0.29929773549727756,0.7599998890115025,0.1439538661388149,0.0012166978973506039,8.664435522646549e-05,0.35555555555555557,1.0,True,0.019723241,6.139043764860932,78.20912418899934,,physical lift and upright placement verified
21,21,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.2239768105788638,0.49319706908215516,-0.3041306875184828,0.7599998883452074,0.46398451998975465,0.00795879692295173,0.00011896899981811754,0.35555555555555557,1.0,True,0.041097065,7.834934036218293,68.88196620100007,,physical lift and upright placement verified
22,22,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,FAILED,FAILED,0.55,2.0007447406531074e-20,0.7599922905891091,1.3818453484896998,0.49369030641081657,-0.2852490382048042,0.896550661129688,,,,0.3111111111111111,1.0,True,0.015920731,7.326308603136896,60.24634840699946,cartesian_motion,"pick pipeline failed: cartesian_place_descent: fraction=0.800, required=0.980, moveit_error_code=1"
23,23,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.9009780755780231,0.49743420053263426,-0.2979040196883455,0.7599999393128033,0.140985784988914,0.0033130741581287363,0.00010050986566288513,0.35555555555555557,1.0,True,0.029647932,6.326712366567552,52.977781883000716,,physical lift and upright placement verified
24,24,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.2728072895975289,0.5080812910138458,-0.2879940664524964,0.7599999110316035,0.5128149990084198,0.014472377303174896,0.0001270574684396273,0.35555555555555557,1.0,True,0.045388363,10.242598279621616,76.60228245799954,,physical lift and upright placement verified
25,25,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.0768673357198537,0.4992295493441033,-0.29956111169381594,0.7599999752163078,0.3168750451307446,0.0008866888738960222,0.00010921630528612366,0.3111111111111111,1.0,True,0.031118826000000002,9.803747625370669,75.99890025400055,,physical lift and upright placement verified
26,26,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8920705676665394,0.4999809032127808,-0.3001421987732448,0.7599999385345972,0.13207827707743025,0.00014347537130954437,9.446842394203537e-05,0.35555555555555557,1.0,True,0.020631214999999998,8.853002365048253,77.09547192699938,,physical lift and upright placement verified
27,27,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.13976078731133,0.48919121096597123,-0.30042979566648687,0.7599999583334957,0.3797684967222209,0.010817330756651915,1.2342862421580037e-05,0.35555555555555557,1.0,True,0.044808232,11.129565129467025,78.28998093500013,,physical lift and upright placement verified
28,28,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.1147371344203438,0.49894344505761995,-0.2989627183430381,0.7599999491439792,0.3547448438312347,0.0014806287801888828,0.00010261989868306869,0.3111111111111111,1.0,True,0.03239964,10.952988423686616,81.02707320900117,,physical lift and upright placement verified
29,29,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8969560795969589,0.4986487343105064,-0.2986330479691785,0.7599999012428565,0.13696378900784978,0.0019221021897710413,0.00010678315979033455,0.35555555555555557,1.0,True,0.029042219,6.513820008633088,54.195123424000485,,physical lift and upright placement verified
